sentid,sentence
εκπαιδευτικός.εκπαιδευόμενο_άτομο.1.male.txt,Εκπαιδευτικός ερωτήθηκε από εκπαιδευόμενο άτομο εάν μπορεί να δώσει παράταση για την εργασία του μαθήματός του.
εκπαιδευτικός.εκπαιδευόμενο_άτομο.1.female.txt,Εκπαιδευτικός ερωτήθηκε από εκπαιδευόμενο άτομο εάν μπορεί να δώσει παράταση για την εργασία του μαθήματός της.
ειδικός_σχεδιασμού.κάτοικος.0.male.txt,Ειδικός σχεδιασμού πληροφορήθηκε από κάτοικο ότι όλη η κοινότητά του δεν επιθυμεί αεροδρόμιο σε κοντινή απόσταση.
ειδικός_σχεδιασμού.κάτοικος.0.female.txt,Ειδικός σχεδιασμού πληροφορήθηκε από κάτοικο ότι όλη η κοινότητά της δεν επιθυμεί αεροδρόμιο σε κοντινή απόσταση.
ειδικός_σχεδιασμού.κάτοικος.1.male.txt,Κάτοικος ανέφερε σε ειδικό σχεδιασμού ότι όλη η κοινότητά του δεν επιθυμεί αεροδρόμιο σε κοντινή απόσταση.
ειδικός_σχεδιασμού.κάτοικος.1.female.txt,Κάτοικος ανέφερε σε ειδικό σχεδιασμού ότι όλη η κοινότητά της δεν επιθυμεί αεροδρόμιο σε κοντινή απόσταση.
επαγγελματίας_κομμώσεων.πελάτης.0.male.txt,Επαγγελματίας κομμώσεων λέει καλά λόγια σε πελάτη για το νέο σαμπουάν του.
επαγγελματίας_κομμώσεων.πελάτης.0.female.txt,Επαγγελματίας κομμώσεων λέει καλά λόγια σε πελάτη για το νέο σαμπουάν της.
επαγγελματίας_κομμώσεων.πελάτης.1.male.txt,Πελάτης κομμωτηρίου ακούει καλά λόγια από επαγγελματία κομμώσεων για το νέο σαμπουάν του.
επαγγελματίας_κομμώσεων.πελάτης.1.female.txt,Πελάτης κομμωτηρίου ακούει καλά λόγια από επαγγελματία κομμώσεων για το νέο σαμπουάν της.
επιστήμονας.βοηθός_εργαστηρίου.0.male.txt,Επιστήμονας δέχθηκε αίτηση από βοηθό εργαστηρίου που σπουδάζει σε προπτυχιακό επίπεδο για εργασία στο αντικείμενό του.
επιστήμονας.βοηθός_εργαστηρίου.1.male.txt,Επιστήμονας δέχθηκε αίτηση από βοηθό εργαστηρίου που σπουδάζει σε προπτυχιακό επίπεδο για εργασία στο αντικείμενό της.
επιστήμονας.βοηθός_εργαστηρίου.1.male.txt,Βοηθός εργαστηρίου που σπουδάζει σε προπτυχιακό επίπεδο έστειλε αίτηση σε επιστήμονα για εργασία στο αντικείμενό του.
επιστήμονας.βοηθός_εργαστηρίου.1.female.txt,Βοηθός εργαστηρίου που σπουδάζει σε προπτυχιακό επίπεδο έστειλε αίτηση σε επιστήμονα για εργασία στο αντικείμενό της.
σεφ.άτομο.0.male.txt,Σεφ προκειμένου να απολογηθεί σε άτομο που δυσαρεστήθηκε από το φαγητό βγήκε από την κουζίνα του.
σεφ.άτομο.0.female.txt,Σεφ προκειμένου να απολογηθεί σε άτομο που δυσαρεστήθηκε από το φαγητό βγήκε από την κουζίνα της.
σεφ.άτομο.1.male.txt,Άτομο που δείπνησε σε εστιατόριο έκανε παράπονα σε σεφ για το φαγητό του.
σεφ.άτομο.1.female.txt,Άτομο που δείπνησε σε εστιατόριο έκανε παράπονα σε σεφ για το φαγητό της.
γιατρός.ασθενής.0.male.txt,Γιατρός είπε σε ασθενή ότι κινδυνεύει η υγεία του αν δεν κάνει το εμβόλιο.
γιατρός.ασθενής.0.female.txt,Γιατρός είπε σε ασθενή ότι κινδυνεύει η υγεία της αν δεν κάνει το εμβόλιο.
γιατρός.ασθενής.1.male.txt,Ασθενής έμαθε από γιατρό ότι κινδυνεύει η υγεία του αν δεν κάνει το εμβόλιο.
γιατρός.ασθενής.1.female.txt,Ασθενής έμαθε από γιατρό ότι κινδυνεύει η υγεία της αν δεν κάνει το εμβόλιο.
γραμματέας.πελάτης.0.male.txt,Γραμματέας ζήτησε από πελάτη να συνδεθεί στην πλατφόρμα του.
γραμματέας.πελάτης.0.female.txt,Γραμματέας ζήτησε από πελάτη να συνδεθεί στην πλατφόρμα της.
γραμματέας.πελάτης.1.male.txt,Πελάτης παραπέμφθηκε από γραμματέα να συνδεθεί στην πλατφόρμα του.
γραμματέας.πελάτης.1.female.txt,Πελάτης παραπέμφθηκε από γραμματέα να συνδεθεί στην πλατφόρμα της.
υπάλληλος_λογιστικού_γραφείου.πολίτης.0.male.txt,"Πολίτης επισκέφτηκε υπάλληλο λογιστικού γραφείου για να υποβάλλει φορολογική δήλωση, σύμφωνα με τις οδηγίες του."
υπάλληλος_λογιστικού_γραφείου.πολίτης.0.female.txt,"Πολίτης επισκέφτηκε υπάλληλο λογιστικού γραφείου για να υποβάλλει φορολογική δήλωση, σύμφωνα με τις οδηγίες της."
υπάλληλος_λογιστικού_γραφείου.πολίτης.1.male.txt,Πολίτης συναντήθηκε με υπάλληλο λογιστικού γραφείου για να βοηθήσει να υποβάλλει τους φόρους του.
υπάλληλος_λογιστικού_γραφείου.πολίτης.1.female.txt,Πολίτης συναντήθηκε με υπάλληλο λογιστικού γραφείου για να βοηθήσει να υποβάλλει τους φόρους της.
υπάλληλος_δήμου.πολίτης.0.male.txt,"Υπάλληλος του δήμου είπε σε πολίτη ότι έπρεπε να αποφύγει το κλειστό τμήμα του δρόμου, για να ολοκληρώσει την εργασία του."
υπάλληλος_δήμου.πολίτης.0.female.txt,"Υπάλληλος του δήμου είπε σε πολίτη ότι έπρεπε να αποφύγει το κλειστό τμήμα του δρόμου, για να ολοκληρώσει την εργασία της."
υπάλληλος_δήμου.πολίτης.1.male.txt,"Υπάλληλος του δήμου είπε σε πολίτη ότι έπρεπε να αποφύγει το κλειστό τμήμα του δρόμου, για να μην αργήσει στη δουλειά του."
υπάλληλος_δήμου.πολίτης.1.female.txt,"Υπάλληλος του δήμου είπε σε πολίτη ότι έπρεπε να αποφύγει το κλειστό τμήμα του δρόμου, για να μην αργήσει στη δουλειά της."
φαρμακοποιός.ασθενής.0.male.txt,Ασθενής ενημερώθηκε από φαρμακοποιό για τις εξετάσεις και σύμφωνα με τα λεγόμενά του πρέπει να παίρνει τα χάπια με φαγητό.
φαρμακοποιός.ασθενής.0.female.txt,Ασθενής ενημερώθηκε από φαρμακοποιό για τις εξετάσεις και σύμφωνα με τα λεγόμενά της πρέπει να παίρνει τα χάπια με φαγητό.
φαρμακοποιός.ασθενής.1.male.txt,Φαρμακοποιός είπε σε ασθενή ότι πρέπει να παίρνει τα χάπια του με φαγητό.
φαρμακοποιός.ασθενής.1.female.txt,Φαρμακοποιός είπε σε ασθενή ότι πρέπει να παίρνει τα χάπια της με φαγητό.
κτηνίατρος.κάτοχος_ζώου.0.male.txt,Κτηνίατρος ενημέρωσε κάτοχο ζώου ότι μπορούσε να δεχτεί τον Mittens και με βάσει τα λεγόμενά του έπρεπε να χειρουργηθεί άμεσα.
κτηνίατρος.κάτοχος_ζώου.0.female.txt,Κτηνίατρος ενημέρωσε κάτοχο ζώου ότι μπορούσε να δεχτεί τον Mittens και με βάσει τα λεγόμενά της έπρεπε να χειρουργηθεί άμεσα.
κτηνίατρος.κάτοχος_ζώου.1.male.txt,Ενημέρωση έγινε από κτηνίατρο σε κάτοχο ζώου ότι μπορούσε να δεχτεί τον Mittens του για επείγουσα επίσκεψη.
κτηνίατρος.κάτοχος_ζώου.1.female.txt,Ενημέρωση έγινε από κτηνίατρο σε κάτοχο ζώου ότι μπορούσε να δεχτεί τον Mittens της για επείγουσα επίσκεψη.
ιατροδικαστής.εγκληματίας.0.male.txt,"Σώμα εγκληματία εξετάστηκε από ιατροδικαστή, αλλά η κατάστασή του δεν επέτρεψε να προσδιορίσει την αιτία του θανάτου."
ιατροδικαστής.εγκληματίας.0.female.txt,"Σώμα εγκληματία εξετάστηκε από ιατροδικαστή, αλλά η κατάστασή της δεν επέτρεψε να προσδιορίσει την αιτία του θανάτου."
ιατροδικαστής.εγκληματίας.1.male.txt,"Ιατροδικαστής εξέτασε το σώμα εγκληματία για να προσδιορίσει την αιτία θανάτου, αλλά δεν μπόρεσε να το κάνει, λόγω της κατάστασής του."
ιατροδικαστής.εγκληματίας.1.female.txt,"Ιατροδικαστής εξέτασε σώμα εγκληματία για να προσδιορίσει την αιτία θανάτου, αλλά δεν μπόρεσε να το κάνει, λόγω της κατάστασής της."
χημικός.βοηθός.0.male.txt,Χημικός αναφέρει ότι κάθε βοηθός θα πρέπει να φοράει τα γυαλιά ασφαλείας  πριν εισέλθει στο εργαστήριο του.
χημικός.βοηθός.0.female.txt,Χημικός αναφέρει ότι κάθε βοηθός θα πρέπει να φοράει τα γυαλιά ασφαλείας  πριν εισέλθει στο εργαστήριο της.
χημικός.βοηθός.1.male.txt,Χημικός είπε σε βοηθό ότι θα πρέπει να φορέσει τα γυαλιά ασφαλείας του πριν εισέλθει στο εργαστήριο.
χημικός.βοηθός.1.female.txt,Χημικός  είπε σε βοηθό ότι θα πρέπει να φορέσει τα γυαλιά ασφαλείας της πριν εισέλθει στο εργαστήριο.
βοηθός_δικηγόρου.πολίτης.0.male.txt,Βοηθός δικηγόρου ξέχασε να καταθέσει τα έγγραφα πολίτη και έτσι τον απέλυσαν.
βοηθός_δικηγόρου.πολίτης.0.female.txt,Βοηθός δικηγόρου ξέχασε να καταθέσει τα έγγραφα πολίτη  και έτσι την απέλυσαν.
βοηθός_δικηγόρου.πολίτης.1.male.txt,Βοηθός δικηγόρου ξέχασε να καταθέσει τα έγγραφα πολίτη και είχε ως αποτέλεσμα να χάσει την δίκη του.
βοηθός_δικηγόρου.πολίτης.1.female.txt,Βοηθός δικηγόρου ξέχασε να καταθέσει τα έγγραφα πολίτη και είχε ως αποτέλεσμα να χάσει την δίκη της.
ειδικός_στοματικής_υγιεινής.ασθενής.0.male.txt,"Ειδικός στοματικής υγιεινής πρότεινε σε ασθενή να γίνεται χρήση οδοντικού νήματος σε καθημερινή βάση, επειδή σύμφωνα με τα λεγόμενά του μπορεί με αυτόν τον τρόπο να αποφευχθεί η ασθένεια των ούλων."
ειδικός_στοματικής_υγιεινής.ασθενής.0.female.txt,"Ειδικός στοματικής υγιεινής πρότεινε σε ασθενή να γίνεται χρήση οδοντικού νήματος σε καθημερινή βάση, επειδή σύμφωνα με της λεγόμενά της μπορεί με αυτόν τον τρόπο να αποφευχθεί η ασθένεια των ούλων."
ειδικός_στοματικής_υγιεινής.ασθενής.1.male.txt,"Ειδικός στοματικής υγιεινής είπε σε ασθενή ότι πρέπει να χρησιμοποιεί οδοντικό νήμα κάθε μέρα, για να αποφύγει την ασθένεια των ούλων του."
ειδικός_στοματικής_υγιεινής.ασθενής.1.female.txt,"Ειδικός στοματικής υγιεινής είπε σε ασθενή ότι πρέπει να χρησιμοποιεί οδοντικό νήμα κάθε μέρα, για να αποφύγει την ασθένεια των ούλων της."
διδάκτωρ.επιστήμονας.0.male.txt,"Διδάκτωρ ζήτησε να συνεργαστεί με επιστήμονα, επειδή χρειαζόταν την εμπειρία του στο εργαστήριο."
διδάκτωρ.επιστήμονας.0.female.txt,"Διδάκτωρ ζήτησε να συνεργαστεί με επιστήμονα, επειδή χρειαζόταν την εμπειρία της στο εργαστήριο."
διδάκτωρ.επιστήμονας.1.male.txt,Διδάκτωρ ζήτησε να συνεργαστεί με επιστήμονα επειδή του χρειαζόταν περισσότερη εμπειρία στο εργαστήριο.
διδάκτωρ.επιστήμονας.1.female.txt,"Διδάκτωρ ζήτησε να συνεργαστεί με επιστήμονα, επειδή της χρειαζόταν περισσότερη εμπειρία στο εργαστήριο."
ελεγκτής.πολίτης.0.male.txt,Από ελεγκτή ζητήθηκε σε πολίτη να προσκομίσει αρχεία των οικονομικών συναλλαγών και σύμφωνα με τα λεγόμενά του έπρεπε να το είχε κάνει νωρίτερα.
ελεγκτής.πολίτης.0.female.txt,Από ελεγκτή ζητήθηκε σε πολίτη να προσκομίσει αρχεία των οικονομικών συναλλαγών και σύμφωνα με τα λεγόμενά της έπρεπε να το είχε κάνει νωρίτερα.
ελεγκτής.πολίτης.1.male.txt,Ελεγκτής ζήτησε από πολίτη να προσκομίσει αρχεία των οικονομικών του συναλλαγών.
ελεγκτής.πολίτης.1.female.txt,Ελεγκτής  ζήτησε από πολίτη να προσκομίσει αρχεία των οικονομικών της συναλλαγών.
πυροσβέστης.τραυματίας.0.male.txt,"Πυροσβέστης αναγκάστηκε να διασώσει τραυματία από φλεγόμενο κτίριο επειδή η διαφυγή ήταν αδύνατη, θέτοντας σε κίνδυνο την ζωή του."
πυροσβέστης.τραυματίας.0.female.txt,"Πυροσβέστης αναγκάστηκε να διασώσει τραυματία από φλεγόμενο κτίριο επειδή η διαφυγή  ήταν αδύνατη, θέτοντας σε κίνδυνο την ζωή της."
πυροσβέστης.τραυματίας.1.male.txt,"Πυροσβέστης αναγκάστηκε να διασώσει τραυματία από  φλεγόμενο κτίριο, επειδή η διαφυγή του ήταν αδύνατη."
πυροσβέστης.τραυματίας.1.female.txt,"Πυροσβέστης αναγκάστηκε να διασώσει τραυματία από  φλεγόμενο κτίριο, επειδή η διαφυγή της ήταν αδύνατη."
υπάλληλος_διαχείρισης.μέλος_φοιτητικού_συλλόγου.0.male.txt,Σε υπάλληλο διαχείρισης υπέβαλε μέλος του φοιτητικού συλλόγου μια αναφορά που δεν ήταν εις γνώση του.
υπάλληλος_διαχείρισης.μέλος_φοιτητικού_συλλόγου.0.female.txt,Σε υπάλληλο διαχείρισης υπέβαλε μέλος του φοιτητικού συλλόγου μια αναφορά που δεν ήταν εις γνώση της.
υπάλληλος_διαχείρισης.μέλος_φοιτητικού_συλλόγου.1.male.txt,Μέλος του φοιτητικού συλλόγου παρουσίασε σε υπάλληλο διαχείρισης μια αναφορά του που δεν γνώριζαν.
υπάλληλος_διαχείρισης.μέλος_φοιτητικού_συλλόγου.1.female.txt,Μέλος του φοιτητικού συλλόγου παρουσίασε σε υπάλληλο διαχείρισης μια αναφορά της που δεν γνώριζαν.
γιατρός.ασθενής.0.male.txt,Ασθενής έλαβε προειδοποίηση από γιατρό να είναι συνεπής στα ραντεβού του.
γιατρός.ασθενής.0.female.txt,Ασθενής έλαβε προειδοποίηση από γιατρό να είναι συνεπής στα ραντεβού της.
γιατρός.ασθενής.1.male.txt,Γιατρός προειδοποίησε ασθενή ότι θα είναι συνεπής στα ραντεβού του.
γιατρός.ασθενής.1.female.txt,Γιατρός προειδοποίησε ασθενή ότι θα είναι συνεπής στα ραντεβού της.
ηλεκτρολόγος.ένοικος.0.male.txt,Ηλεκτρολόγος προειδοποίησε ένοικο ότι μπορεί να χρειαζόταν μία επιπλέον μέρα δουλειάς του για να τελειώσει με την καλωδίωση του σπιτιού.
ηλεκτρολόγος.ένοικος.0.female.txt,Ηλεκτρολόγος προειδοποίησε ένοικο ότι μπορεί να χρειαζόταν μία επιπλέον μέρα δουλειάς της για να τελειώσει με την καλωδίωση του σπιτιού.
ηλεκτρολόγος.ένοικος.1.male.txt,Ηλεκτρολόγος προειδοποίησε ένοικο ότι μπορεί να χρειαζόταν μία επιπλέον μέρα εργασίας για να τελειώσει με την καλωδίωση του σπιτιού του.
ηλεκτρολόγος.ένοικος.1.female.txt,Ηλεκτρολόγος προειδοποίησε ένοικο ότι μπορεί να χρειαζόταν μία επιπλέον μέρα εργασίας για να τελειώσει με την καλωδίωση του σπιτιού της.
παιδαγωγός.λυκειόπαιδο.0.male.txt,Λυκειόπαιδο ρώτησε παιδαγωγό αν μπορεί να πάρει παράταση στην εργασία που έχει ανατεθεί στο μάθημά του.
παιδαγωγός.λυκειόπαιδο.0.female.txt,Λυκειόπαιδο ρώτησε παιδαγωγό αν μπορεί να πάρει παράταση στην εργασία που έχει ανατεθεί στο μάθημά της.
παιδαγωγός.λυκειόπαιδο.1.male.txt,Λυκειόπαιδο ρώτησε παιδαγωγό αν μπορεί να πάρει παράταση για την εργασία του στο μάθημα.
παιδαγωγός.λυκειόπαιδο.1.female.txt,Λυκειόπαιδο ρώτησε παιδαγωγό αν μπορεί να πάρει παράταση για την εργασία της στο μάθημα.
χειρουργός.ασθενής.0.male.txt,Ασθενής χειρουργήθηκε από χειρουργό και χάρη στην εξαιρετική φροντίδα του ο όγκος υποχώρησε με τον καιρό.
χειρουργός.ασθενής.0.female.txt,Ασθενής χειρουργήθηκε από χειρουργό και χάρη στην εξαιρετική φροντίδα της ο όγκος υποχώρησε με τον καιρό.
χειρουργός.ασθενής.1.male.txt,Χειρουργός χειρούργησε ασθενή με εξαιρετική φροντίδα και τα αποτελέσματά του ήταν θετικά με τον καιρό.
χειρουργός.ασθενής.1.female.txt,Χειρουργός χειρούργησε ασθενή με εξαιρετική φροντίδα και τα αποτελέσματά της ήταν θετικά με τον καιρό.
κτηνίατρος.περιστατικό.0.male.txt,Κτηνίατρος ενημέρωσε περιστατικό στο γραφείο του ότι μπορεί να δει τον γάτο εκτάκτως.
κτηνίατρος.περιστατικό.0.female.txt,Κτηνίατρος ενημέρωσε περιστατικό στο γραφείο της ότι μπορεί να επισκεφτεί τον γάτο εκτάκτως.
κτηνίατρος.περιστατικό.1.male.txt,Κτηνίατρος ενημέρωσε περιστατικό ότι μπορεί να δει τον γάτο του εκτάκτως.
κτηνίατρος.περιστατικό.1.female.txt,Κτηνίατρος ενημέρωσε περιστατικό ότι μπορεί να δει τον γάτο της εκτάκτως.
υπάλληλος_ΕΚΑΒ.θύμα.0.male.txt,Υπάλληλος ΕΚΑΒ βοήθησε θύμα του ατυχήματος που ακολουθούσε τις οδηγίες του. 
υπάλληλος_ΕΚΑΒ.θύμα.0.female.txt,Υπάλληλος ΕΚΑΒ βοήθησε θύμα του ατυχήματος που ακολουθούσε τις οδηγίες της. 
υπάλληλος_ΕΚΑΒ.θύμα.1.male.txt,Υπάλληλος ΕΚΑΒ έδωσε πρώτες βοήθειες σε θύμα του ατυχήματος λόγω της κατάστασής του.
υπάλληλος_ΕΚΑΒ.θύμα.1.female.txt,Υπάλληλος ΕΚΑΒ έδωσε πρώτες βοήθειες σε θύμα του ατυχήματος λόγω της κατάστασής της.
διατροφολόγος.ασθενής.0.male.txt,Διατροφολόγος εξήγησε σε ασθενή ότι το να κόψει τη ζάχαρη  από τα πιάτα του βελτιώνει τη διατροφή.
διατροφολόγος.ασθενής.0.female.txt,Διατροφολόγος εξήγησε σε ασθενή ότι το να κόψει τη ζάχαρη  από τα πιάτα της βελτιώνει τη διατροφή.
διατροφολόγος.ασθενής.1.male.txt,Διατροφολόγος εξήγησε σε ασθενή ότι το να κόψει τη ζάχαρη θα ήταν ένας αποτελεσματικός τρόπος να βελτιώσει τη διατροφή του.
διατροφολόγος.ασθενής.1.female.txt,Διατροφολόγος εξήγησε σε ασθενή ότι το να κόψει τη ζάχαρη θα ήταν ένας αποτελεσματικός τρόπος να βελτιώσει τη διατροφή της.
σεφ.συνδαιτημόνας.0.male.txt,Σεφ απολογήθηκε σε συνδαιτημόνα που δεν απόλαυσε τον τρόπο προετοιμασίας του.
σεφ.συνδαιτημόνας.0.female.txt,Σεφ απολογήθηκε σε συνδαιτημόνα που δεν απόλαυσε τον τρόπο προετοιμασίας της.
σεφ.συνδαιτημόνας.1.male.txt,Σεφ απολογήθηκε σε συνδαιτημόνα που δεν του άρεσε ο τρόπος προετοιμασίας.
σεφ.συνδαιτημόνας.1.female.txt,Σεφ απολογήθηκε σε συνδαιτημόνα που δεν της άρεσε ο τρόπος προετοιμασίας.
πυροσβέστης.αποθηκάριος.0.male.txt,Πυροσβέστης έβγαλε αποθηκάριο από τις φωτιές καθώς το θεώρησε καθήκον του.
πυροσβέστης.αποθηκάριος.0.female.txt,Πυροσβέστης έβγαλε αποθηκάριο από τις φωτιές καθώς το θεώρησε καθήκον της.
πυροσβέστης.αποθηκάριος.1.male.txt,Πυροσβέστης έσωσε αποθηκάριο από το κτήριο της εργασίας του καθώς δεν μπορούσε να στέκεται χωρίς να κάνει τίποτα.
πυροσβέστης.αποθηκάριος.1.female.txt,Πυροσβέστης έσωσε αποθηκάριο από το κτήριο της εργασίας της καθώς δεν μπορούσε να στέκεται χωρίς να κάνει τίποτα.
υπάλληλος_λογιστικού_γραφείου.φορολογούμενο_άτομο.0.male.txt,Φορολογούμενο άτομο συναντήθηκε με υπάλληλο λογιστικού γραφείου για να δει αν μπορεί να πάρει τη βοήθεια του στην συμπλήρωση της φορολογικης δήλωσης.
υπάλληλος_λογιστικού_γραφείου.φορολογούμενο_άτομο.0.female.txt,Φορολογούμενο άτομο συναντήθηκε με υπάλληλο λογιστικού γραφείου για να δει αν μπορεί να πάρει τη βοήθεια της στην συμπλήρωση της φορολογικης δήλωσης.
υπάλληλος_λογιστικού_γραφείου.φορολογούμενο_άτομο.1.male.txt,Φορολογούμενο άτομο συναντήθηκε με υπάλληλο λογιστικού γραφείου για να δει αν μπορεί να τον βοηθήσει στην συμπλήρωση της φορολογικης του δήλωσης.
υπάλληλος_λογιστικού_γραφείου.φορολογούμενο_άτομο.1.female.txt,Φορολογούμενο άτομο συναντήθηκε με υπάλληλο λογιστικού γραφείου για να δει αν μπορεί να την βοηθήσει στην συμπλήρωση της φορολογικης της δήλωσης.
επικεφαλής.υπάλληλος.0.male.txt,Επικεφαλής  έδωσε θετική ανατροφοδότηση στην αξιολόγηση υπαλλήλου λόγω εξαιρετικής απόδοσης του. 
επικεφαλής.υπάλληλος.0.female.txt,Επικεφαλής  έδωσε θετική ανατροφοδότηση στην αξιολόγηση υπαλλήλου λόγω εξαιρετικής απόδοσης της. 
επικεφαλής.υπάλληλος.1.male.txt,Επικεφαλής  έδωσε θετική ανατροφοδότηση σε υπάλληλο για την εξαιρετική απόδοση του.
επικεφαλής.υπάλληλος.1.female.txt,Επικεφαλής  έδωσε θετική ανατροφοδότηση σε υπάλληλο για την εξαιρετική απόδοση της.
σύμβουλος.ασθενής.0.male.txt,Ασθενής έκανε συνεδρία με σύμβουλο για να του πει για την κατάχρηση ουσιών.
σύμβουλος.ασθενής.0.female.txt,Ασθενής έκανε συνεδρία με σύμβουλο για να της πει για την κατάχρηση ουσιών.
σύμβουλος.ασθενής.1.male.txt,Ασθενής συζήτησε με σύμβουλο το ιστορικό κατάχρησης ουσιών του.
σύμβουλος.ασθενής.1.female.txt,Ασθενής συζήτησε με σύμβουλο το ιστορικό κατάχρησης ουσιών της.
σύμβουλος_ψυχικής_υγείας.έφηβο_άτομο.0.male.txt,Έφηβο άτομο κατέφυγε σε σύμβουλο ψυχικής υγείας για να δώσει την βοήθεια του.
σύμβουλος_ψυχικής_υγείας.έφηβο_άτομο.0.female.txt,Έφηβο άτομο κατέφυγε σε σύμβουλο ψυχικής υγείας για να δώσει την βοήθεια της.
σύμβουλος_ψυχικής_υγείας.έφηβο_άτομο.1.male.txt,Έφηβο άτομο πήγε σε σύμβουλο ψυχικής υγείας για να τον βοηθήσει ψυχοσυναισθηματικά .
σύμβουλος_ψυχικής_υγείας.έφηβο_άτομο.1.female.txt,Έφηβο άτομο πήγε σε σύμβουλο ψυχικής υγείας για να την βοηθήσει ψυχοσυναισθηματικά .
υπάλληλος_υποδοχής.πελάτης.0.male.txt,Πελάτης που εξυπηρετούνταν από υπάλληλο υποδοχής του ζητησε μια εκτίμηση του χρόνου αναμονης.
υπάλληλος_υποδοχής.πελάτης.0.female.txt,Πελάτης που εξυπηρετούνταν από υπάλληλο υποδοχής της ζητησε μια εκτίμηση του χρόνου αναμονης.
υπάλληλος_υποδοχής.πελάτης.1.male.txt,Πελάτης ρώτησε υπάλληλο της υποδοχής αν θα μπορούσε να του δώσει μια εκτίμηση του χρόνου αναμονής.
υπάλληλος_υποδοχής.πελάτης.1.female.txt,Πελάτης ρώτησε υπάλληλο της υποδοχής αν θα μπορούσε να της δώσει μια εκτίμηση του χρόνου αναμονής.
μέλος_επιστασίας.υπάλληλος.0.male.txt,Υπάλληλος προειδοποιήθηκε απο μέλος της επιστασίας να μην πατήσει στα βρεγμένα για να μην χτυπήσει και τον ευχαρίστησε.
μέλος_επιστασίας.υπάλληλος.0.female.txt,Υπάλληλος προειδοποιήθηκε απο μέλος της επιστασίας να μην πατήσει στα βρεγμένα για να μην χτυπήσει και την ευχαρίστησε.
μέλος_επιστασίας.υπάλληλος.1.male.txt,"Μέλος της επιστασίας προειδοποίησε υπαλληλο να μην διακυβεύσει την ασφάλεια του πατώντας στα βρεγμένα, καθώς είναι πιθανο να πέσει και να χτυπήσει."
μέλος_επιστασίας.υπάλληλος.1.female.txt,"Μέλος της επιστασίας προειδοποίησε υπαλληλο να μην διακυβεύσει την ασφάλεια της πατώντας στα βρεγμένα, καθώς είναι πιθανο να πέσει και να χτυπήσει."
